                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    161,                0.03403,                 0.9386,                      1,                0.60449,              0.0005255,              0.0005255,              0.0005255
                    162,                0.03428,                0.95614,                      1,                 0.6051,             0.00052433,             0.00052433,             0.00052433
                    163,                0.04827,                0.95614,                      1,                0.60706,             0.00052315,             0.00052315,             0.00052315
                    164,                0.05412,                 0.9386,                      1,                0.60632,             0.00052197,             0.00052197,             0.00052197
                    165,                0.04205,                0.96491,                      1,                0.59143,             0.00052079,             0.00052079,             0.00052079
                    166,                0.03305,                0.94737,                      1,                0.60938,             0.00051961,             0.00051961,             0.00051961
                    167,                0.02433,                0.94737,                      1,                0.61157,             0.00051844,             0.00051844,             0.00051844
                    168,                0.02624,                 0.9386,                      1,                0.61157,             0.00051726,             0.00051726,             0.00051726
                    169,                 0.0341,                0.92982,                      1,                0.62329,             0.00051608,             0.00051608,             0.00051608
                    170,                0.01961,                 0.9386,                      1,                0.62024,              0.0005149,              0.0005149,              0.0005149
                    171,                0.01603,                0.91228,                      1,                0.61108,             0.00051372,             0.00051372,             0.00051372
                    172,                0.03273,                 0.9386,                      1,                0.62256,             0.00051254,             0.00051254,             0.00051254
                    173,                0.04349,                 0.9386,                      1,                0.61792,             0.00051137,             0.00051137,             0.00051137
                    174,                0.02296,                0.94737,                      1,                 0.6062,             0.00051019,             0.00051019,             0.00051019
                    175,                 0.0262,                0.94737,                      1,                0.60229,             0.00050901,             0.00050901,             0.00050901
                    176,                0.03005,                0.90351,                      1,                0.65149,             0.00050783,             0.00050783,             0.00050783
                    177,                 0.0184,                 0.9386,                      1,                0.61694,             0.00050665,             0.00050665,             0.00050665
                    178,                0.03228,                 0.9386,                      1,                0.61658,             0.00050548,             0.00050548,             0.00050548
                    179,                0.04712,                0.94737,                      1,                0.60815,              0.0005043,              0.0005043,              0.0005043
                    180,                0.02415,                0.92982,                      1,                0.62085,             0.00050312,             0.00050312,             0.00050312
                    181,                0.02315,                0.94737,                      1,                0.60107,             0.00050194,             0.00050194,             0.00050194
                    182,                0.02566,                0.94737,                      1,                0.60181,             0.00050076,             0.00050076,             0.00050076
                    183,                0.01379,                0.94737,                      1,                0.61121,             0.00049959,             0.00049959,             0.00049959
                    184,                0.01946,                 0.9386,                      1,                0.61938,             0.00049841,             0.00049841,             0.00049841
                    185,                0.03396,                0.94737,                      1,                0.60315,             0.00049723,             0.00049723,             0.00049723
                    186,                0.02133,                0.95614,                      1,                0.59241,             0.00049605,             0.00049605,             0.00049605
                    187,                0.01911,                0.95614,                      1,                0.61011,             0.00049487,             0.00049487,             0.00049487
                    188,                0.03283,                0.95614,                      1,                 0.5979,              0.0004937,              0.0004937,              0.0004937
                    189,                0.02793,                0.95614,                      1,                 0.5968,             0.00049252,             0.00049252,             0.00049252
                    190,                0.03335,                0.92982,                      1,                0.60901,             0.00049134,             0.00049134,             0.00049134
                    191,                0.02015,                 0.9386,                      1,                 0.6123,             0.00049016,             0.00049016,             0.00049016
                    192,                0.02385,                0.92982,                      1,                0.61731,             0.00048898,             0.00048898,             0.00048898
                    193,                0.02741,                0.95614,                      1,                0.59888,              0.0004878,              0.0004878,              0.0004878
                    194,                0.03332,                0.92982,                      1,                0.60986,             0.00048663,             0.00048663,             0.00048663
                    195,                0.02326,                0.92105,                      1,                0.62866,             0.00048545,             0.00048545,             0.00048545
                    196,                0.02734,                 0.9386,                      1,                0.60913,             0.00048427,             0.00048427,             0.00048427
                    197,                0.02902,                 0.9386,                      1,                0.59839,             0.00048309,             0.00048309,             0.00048309
                    198,                0.01359,                 0.9386,                      1,                 0.6106,             0.00048191,             0.00048191,             0.00048191
                    199,                0.03089,                0.91228,                      1,                0.62378,             0.00048074,             0.00048074,             0.00048074
                    200,                 0.0491,                0.92982,                      1,                0.61401,             0.00047956,             0.00047956,             0.00047956
                    201,                0.03532,                 0.9386,                      1,                0.60217,             0.00047838,             0.00047838,             0.00047838
                    202,                0.03423,                0.94737,                      1,                0.60962,              0.0004772,              0.0004772,              0.0004772
                    203,                0.02372,                0.95614,                      1,                 0.5979,             0.00047602,             0.00047602,             0.00047602
                    204,                0.02083,                0.95614,                      1,                0.58765,             0.00047485,             0.00047485,             0.00047485
                    205,                0.02879,                0.96491,                      1,                0.58337,             0.00047367,             0.00047367,             0.00047367
                    206,                0.01499,                0.96491,                      1,                0.58496,             0.00047249,             0.00047249,             0.00047249
                    207,                0.02333,                0.96491,                      1,                0.58643,             0.00047131,             0.00047131,             0.00047131
                    208,                 0.0185,                0.94737,                      1,                0.59412,             0.00047013,             0.00047013,             0.00047013
                    209,                0.01373,                0.94737,                      1,                0.60254,             0.00046896,             0.00046896,             0.00046896
                    210,                0.01634,                0.95614,                      1,                0.59375,             0.00046778,             0.00046778,             0.00046778
                    211,                 0.0234,                0.95614,                      1,                0.59485,              0.0004666,              0.0004666,              0.0004666
                    212,                0.00804,                0.95614,                      1,                0.59778,             0.00046542,             0.00046542,             0.00046542
                    213,                 0.0224,                0.94737,                      1,                0.60852,             0.00046424,             0.00046424,             0.00046424
                    214,                0.02103,                0.96491,                      1,                 0.5813,             0.00046306,             0.00046306,             0.00046306
                    215,                0.01453,                0.96491,                      1,                0.58276,             0.00046189,             0.00046189,             0.00046189
                    216,                0.02096,                0.96491,                      1,                0.59241,             0.00046071,             0.00046071,             0.00046071
                    217,                0.02127,                0.94737,                      1,                 0.5929,             0.00045953,             0.00045953,             0.00045953
                    218,                0.01072,                0.94737,                      1,                0.59717,             0.00045835,             0.00045835,             0.00045835
                    219,                0.01644,                0.95614,                      1,                0.60022,             0.00045717,             0.00045717,             0.00045717
                    220,                 0.0169,                0.97368,                      1,                0.58765,               0.000456,               0.000456,               0.000456
                    221,                0.00899,                0.95614,                      1,                0.59436,             0.00045482,             0.00045482,             0.00045482
                    222,                0.02717,                0.95614,                      1,                0.58789,             0.00045364,             0.00045364,             0.00045364
                    223,                0.03279,                0.96491,                      1,                0.59338,             0.00045246,             0.00045246,             0.00045246
